Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US),URL,IMDB,Summary,Rating,SRT Link
Black Sheep,Jonathan King,2006,3,1.5,No,https://wheresthejump.com/jump-scares-in-black-sheep-2006/,tt0779982,Jump Scares: 3 (3 minor),"Very minor jumps, undercut by the silly nature of the movie",Black Sheep.srt
Black Swan,Darren Aronofsky,2010,10,3.0,No,https://wheresthejump.com/jump-scares-in-black-swan-2010/,tt0947798,"Jump Scares: 10 (3 major, 7 minor)","After a quiet first 30 minutes, the last two thirds of the film contain a large number of jump scares although only a handful of these are truly startling.",https://wheresthejump.com/subtitles/Black-Swan-2010.srt
Black Wake,Jeremiah Kipp,2018,2,0.5,No,https://wheresthejump.com/jump-scares-in-black-wake-2018/,tt4839118,Jump Scares: 2 (2 minor),Very low budget B-movie that does not really feel scary or tense. The second jump scare is unexpected but not really successful.,https://wheresthejump.com/subtitles/Black-Wake-2018.srt
Black Water,"David Nerlich, Andrew Traucki",2007,6,1.5,No,https://wheresthejump.com/jump-scares-in-black-water-2007/,tt0816436,"Jump Scares: 6 (1 major, 5 minor)","Only a handful of jump scares, most of which are very minor.",https://wheresthejump.com/subtitles/Black-Water-2007.srt
Black Water: Abyss,Andrew Traucki,2020,9,2.5,No,https://wheresthejump.com/jump-scares-in-black-water-abyss-2020/,tt7978672,"Jump Scares: 9 (3 major, 6 minor)",Jumpier than its predecessor with some major scares to watch out for later in the movie.,https://wheresthejump.com/subtitles/Black-Water-Abyss-2020.srt
Blade,Stephen Norrington,1998,1,1.0,No,https://wheresthejump.com/jump-scares-in-blade-1998/,tt0120611,Jump Scares: 1 (1 major),Only one notable jump scare which occurs 13 minutes into the movie.,https://wheresthejump.com/subtitles/Blade-1998.srt
Blair Witch,Adam Wingard,2016,18,4.0,No,https://wheresthejump.com/jump-scares-in-blair-witch-2016/,tt1540011,"Jump Scares: 18 (4 major, 14 minor)","After a quiet first 25 minutes, Blair Witch assaults viewers with near constant jump scares. Many of these are in the form of sudden loud noises and “fake out” scares (although the final 15 minutes does contain some genuinely scary moments).",https://wheresthejump.com/subtitles/Blair-Witch-2016.srt
Blood Vessel,Justin Dix,2019,3,1.0,No,https://wheresthejump.com/jump-scares-in-blood-vessel-2019/,tt8009938,Jump Scares: 3 (3 minor),Very few jump scares considering the material,Blood Vessel.srt
Boar,Chris Sun,2017,6,2.0,No,https://wheresthejump.com/jump-scares-in-boar-2017/,tt4158594,Jump Scares: 6 (6 minor),Pretty obvious monster movie scares.,Boar.srt
Bodies Bodies Bodies,Halina Reijn,2022,4,1.0,No,https://wheresthejump.com/jump-scares-in-bodies-bodies-bodies-2022/,tt8110652,Jump Scares: 4 (4 minor),"There are four minor jump scares, which can all be guessed before they happen.",https://wheresthejump.com/subtitles/Bodies-Bodies-Bodies-2022.srt
Body at Brighton Rock,Roxanne Benjamin,2019,12,3.5,No,https://wheresthejump.com/jump-scares-in-body-at-brighton-rock-2019/,tt7942746,"Jump Scares: 12 (2 major, 10 minor)","Several jump scare thoughout. Many are minor, sound only scares.",https://wheresthejump.com/subtitles/Body-at-Brighton-Rock-2019.srt
Body Double,Brian De Palma,1984,7,1.0,No,https://wheresthejump.com/jump-scares-in-body-double-1984/,tt0086984,"Jump Scares: 7 (1 major, 6 minor)",A few shocking and suspenseful moments and less jump scares.,Body Double.srt
Bone Tomahawk,S. Craig Zahler,2015,0,0.0,No,https://wheresthejump.com/jump-scares-in-bone-tomahawk-2015/,tt2494362,Jump Scares: 0,"A Western with some horror elements, Bone Tomahawk has one or two very gory scenes towards the end however no jump scares.",
Book of Shadows: Blair Witch 2,Joe Berlinger,2000,5,1.0,No,https://wheresthejump.com/jump-scares-in-book-of-shadows-blair-witch-2-2000/,tt0229260,Jump Scares: 5 (5 minor),"A few extremely minor jump scares that do not require much, if any, caution.",https://wheresthejump.com/subtitles/Book-of-Shadows-Blair-Witch-2-2000.srt
Born of Fire,Jamil Dehlavi,1987,4,1.0,No,https://wheresthejump.com/jump-scares-in-born-of-fire-1987/,tt0092691,Jump Scares: 4 (4 minor),"Some minor jump scares, the most notable of which is the unexpected last one.",https://wheresthejump.com/subtitles/Born-of-Fire-1987.srt
